Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Price
2013,65000,Diesel,Automatic,First,5,6.25
2010,66123,Diesel,Manual,Second,5,2.1
2015,41000,Diesel,Automatic,First,5,45
2017,23550,Diesel,Automatic,First,5,33.66
2012,45000,Petrol,Manual,Second,5,3.65
2013,60000,Petrol,Manual,First,5,2.75
2016,44414,Diesel,Automatic,First,5,42.5
2019,1000,Petrol,Manual,First,5,6.5
2012,62500,Diesel,Automatic,Second,5,19
2013,21000,Petrol,Automatic,Second,5,4.45
2017,8525,Diesel,Automatic,Second,5,23
2014,29000,Diesel,Manual,First,5,8.35
2014,40000,Diesel,Automatic,First,5,22.95
2012,88000,Diesel,Manual,First,5,1.5
2012,53537,Petrol,Automatic,First,5,6.89
2006,216000,Diesel,Manual,Second,5,1.45
2014,51000,Diesel,Automatic,First,5,33.5
2007,118500,Petrol,Manual,First,5,1.25
2012,63000,Diesel,Manual,First,5,4.2
2015,25000,Diesel,Manual,First,8,6.75
2014,37382,Diesel,Automatic,First,5,32
2017,24773,Petrol,Manual,First,5,7.5
2012,62000,Diesel,Manual,First,5,4.6
2017,52340,Petrol,Manual,First,5,4.04
2016,56739,Diesel,Manual,First,7,10.31
2018,36091,Diesel,Automatic,First,5,55.76
2010,120000,Diesel,Manual,First,5,2.6
2016,33000,Diesel,Manual,First,7,8.5
2014,52000,Diesel,Manual,First,5,3.5
2015,43571,Petrol,Manual,First,5,3.55
2013,50000,Diesel,Manual,First,5,3.25
2008,113000,Diesel,Manual,First,5,4.5
2014,90000,Diesel,Manual,First,5,5.35
2017,29000,Diesel,Manual,Second,7,6.5
2016,20000,Diesel,Manual,First,5,9
2016,61012,Petrol,Manual,First,5,6
2009,87459,Petrol,Manual,First,5,2.75
2010,70500,Petrol,Manual,First,5,1.5
2015,64103,Diesel,Automatic,First,5,19.9
2014,76000,Petrol,Automatic,First,5,10
2014,104000,Diesel,Manual,First,5,3
2014,37245,Petrol,Automatic,First,5,11.96
2013,45000,Diesel,Manual,First,5,3.25
2012,117837,Diesel,Manual,Second,5,4.75
2014,30000,Diesel,Manual,First,5,5.95
2015,27057,Petrol,Manual,Second,5,8.15
2016,8500,Petrol,Automatic,First,5,4.22
2010,30500,Petrol,Automatic,First,5,10.5
2012,56000,Diesel,Automatic,First,5,45
2012,44000,Petrol,Manual,Second,5,2.9
2017,10500,Petrol,Automatic,First,5,8.9
2017,26000,Petrol,Automatic,First,5,26
2018,25166,Petrol,Manual,First,5,8.22
2014,64000,Diesel,Manual,Second,5,3.5
2004,61000,Petrol,Manual,Second,5,1.25
2013,107000,Diesel,Manual,First,5,3.7
2018,29161,Diesel,Automatic,First,5,39.41
2013,32000,Petrol,Manual,First,5,2.65
2015,46173,Diesel,Manual,Second,5,8.92
2013,47000,Diesel,Manual,First,5,4.1
2017,26327,Petrol,Automatic,First,4,35.67
2007,200000,Diesel,Manual,Second,5,0.85
2016,60813,Petrol,Manual,Second,5,3.32
2012,45000,Diesel,Manual,First,5,3.6
2016,64000,Diesel,Manual,First,5,6.8
2012,41284,Diesel,Manual,First,5,2.5
2019,14165,Diesel,Automatic,First,7,19.64
2011,67000,Diesel,Automatic,Second,7,7
2011,32572,Petrol,Manual,First,5,3.87
2018,14960,Petrol,Manual,First,5,6.27
2015,55980,Diesel,Automatic,First,5,18.12
2013,74000,Diesel,Manual,First,5,2.65
2015,56847,Diesel,Manual,First,5,7.2
2015,121374,Diesel,Manual,First,7,14.3
2013,52000,Diesel,Manual,First,7,6.9
2014,118000,Diesel,Manual,First,7,10.75
2016,33915,Petrol,Manual,First,5,8.09
2014,82002,Diesel,Automatic,First,5,18.5
2017,33000,Diesel,Manual,First,5,4.75
2016,34000,Diesel,Manual,First,5,8.45
2012,55000,Diesel,Manual,First,5,3.5
2006,160538,Diesel,Manual,First,5,1.8
2014,60000,Diesel,Manual,Second,5,3.7
2017,49575,Petrol,Manual,First,5,7.17
2010,83000,Petrol,Manual,First,5,1.75
2018,51346,Diesel,Automatic,First,5,21.99
2017,43000,Diesel,Manual,First,7,18.65
2017,27872,Petrol,Manual,Second,5,5.95
2014,16514,Petrol,Manual,First,5,3.75
2012,120000,Diesel,Manual,First,5,3.75
2008,143275,Diesel,Manual,First,5,2.6
2006,99000,Petrol,Manual,First,5,1.75
2010,52000,Petrol,Manual,First,5,2.8
2017,29819,Diesel,Automatic,First,5,61.29
2014,57000,Diesel,Manual,Second,5,18
2014,88500,Diesel,Manual,First,5,4.35
2016,28000,Diesel,Manual,First,5,13.75
2010,67000,Petrol,Manual,First,5,2
2016,26000,Diesel,Manual,First,5,10
2010,120000,Diesel,Manual,First,5,1.65
2017,51982,Diesel,Automatic,First,5,45.77
2010,36000,Petrol,Manual,Second,5,3.25
2016,47000,Diesel,Manual,First,7,12.8
2018,31025,Diesel,Manual,First,5,7.15
2013,105000,Diesel,Manual,Second,8,7
2017,121900,Diesel,Manual,First,5,3.75
2017,22695,Petrol,Manual,First,5,8.5
2012,73000,Diesel,Manual,First,5,4.35
2016,32227,Petrol,Manual,First,5,3.26
2011,55000,Petrol,Manual,First,5,4.21
2018,11287,Diesel,Automatic,First,7,70.36
2009,48000,Diesel,Automatic,Second,5,2.95
2012,54308,Petrol,Manual,First,5,4.28
2009,78442,Petrol,Automatic,First,5,3.57
2013,46000,Diesel,Manual,First,5,3.11
2014,45051,Petrol,Automatic,First,5,5.96
2011,69000,Diesel,Manual,First,5,4.7
2014,49000,Petrol,Manual,First,5,6.9
2018,45000,Diesel,Manual,First,5,5.25
2015,64000,Diesel,Automatic,First,5,28
2009,60000,Petrol,Manual,First,5,1.35
2015,62178,Petrol,Manual,First,5,4.85
2012,58006,Diesel,Manual,First,5,6.7
2010,74000,Petrol,Manual,First,5,3.1
2015,77771,Diesel,Automatic,First,5,18.64
2012,45275,Petrol,Manual,First,5,2.8
2016,48000,Diesel,Manual,First,7,20.25
2015,31652,Diesel,Automatic,First,5,26.78
2010,109000,Diesel,Manual,Second,7,8.26
2015,31978,Petrol,Manual,First,5,3.89
2011,70000,Petrol,Manual,First,5,2.1
2017,15000,Petrol,Automatic,First,5,12.69
2013,59138,Diesel,Manual,First,5,2.58
2014,61726,Diesel,Automatic,First,5,20.77
2015,48000,Diesel,Automatic,First,5,20.26
2006,58000,Petrol,Manual,Second,5,1.5
2011,60020,Diesel,Manual,First,5,2.5
2014,77815,Petrol,Automatic,First,5,4.25
2017,29000,Diesel,Automatic,First,5,57
2017,44000,Diesel,Automatic,First,5,44
2011,108626,Diesel,Manual,First,5,3.65
2012,71791,Petrol,Manual,First,5,2.05
2012,91931,Petrol,Manual,First,5,3.13
2000,158000,Diesel,Manual,Second,7,1.5
2012,91183,Diesel,Manual,First,5,2.85
2012,65000,Petrol,Manual,First,5,2.65
2015,88428,Diesel,Manual,First,7,10.6
2008,138000,Diesel,Manual,Second,5,1.25
2018,18000,Petrol,Manual,First,7,8.25
2011,60000,Petrol,Automatic,First,5,4.45
2012,48000,Diesel,Manual,First,5,3.7
2009,160000,Diesel,Manual,First,5,2.8
2008,40000,Petrol,Manual,First,5,1.8
2014,51495,Diesel,Automatic,First,5,21.95
2011,30000,Diesel,Automatic,First,4,49
2017,97430,Diesel,Automatic,First,7,62.67
2012,83000,Diesel,Manual,First,5,5.5
2016,28503,Petrol,Automatic,First,5,6.86
2015,76496,Diesel,Manual,First,5,6.15
2011,79152,Petrol,Manual,Second,5,3.3
2011,32000,Petrol,Manual,First,5,2.55
2009,35000,Petrol,Manual,First,5,1.5
2004,105000,Petrol,Automatic,Second,5,2.5
2006,56000,Petrol,Manual,Second,5,1.4
2012,73000,Diesel,Manual,First,5,3.4
2012,38000,Petrol,Manual,First,5,2.25
2013,775000,Diesel,Automatic,First,5,7.5
2008,80000,Petrol,Automatic,First,5,2.8
2016,24973,Petrol,Manual,First,5,7.66
2016,45000,Diesel,Manual,First,5,7.15
2010,87430,Petrol,Manual,First,5,3.5
2014,133944,Diesel,Manual,Second,5,3.5
2013,57000,Diesel,Manual,First,5,3.45
2016,27904,Petrol,Manual,First,5,3.55
2015,30717,Diesel,Automatic,Second,5,25.99
2012,80000,Diesel,Manual,First,5,5.25
2013,47304,Diesel,Manual,First,5,2.9
2005,100000,Petrol,Automatic,First,5,2.05
2017,30000,Petrol,Manual,First,5,3.75
2014,68000,Diesel,Manual,First,5,6.75
2011,21000,Petrol,Manual,Second,5,0.95
2017,21000,Diesel,Automatic,First,5,52
2019,13747,Petrol,Automatic,First,5,27.3
2009,620000,Petrol,Manual,First,5,2.7
2013,70000,Diesel,Manual,First,5,3.5
2016,18000,Petrol,Automatic,First,5,6.2
2011,83000,Diesel,Manual,First,5,2.75
2015,130000,Diesel,Manual,First,5,3.25
2012,63400,Diesel,Manual,First,5,3.25
2003,65000,Petrol,Manual,First,5,0.65
2017,8350,Petrol,Manual,First,5,35
2014,45000,Diesel,Manual,First,5,3.25
2018,26200,Petrol,Manual,First,5,2.9
2009,90000,Diesel,Automatic,Second,5,17.75
2015,74000,Petrol,Automatic,Second,5,8.25
2015,37081,Petrol,Automatic,First,5,5.77
2017,39000,Diesel,Manual,First,5,9.49
2015,38000,Diesel,Automatic,First,5,20
2015,93000,Diesel,Manual,Second,5,7.1
2017,5900,Diesel,Manual,First,5,16.5
2014,25000,Diesel,Manual,First,5,26
2010,68000,Diesel,Manual,Second,5,3.2
2017,35676,Petrol,Automatic,First,7,9.48
2015,74310,Diesel,Manual,First,5,4
2014,59364,Diesel,Automatic,First,5,26.5
2014,41380,Petrol,Automatic,Second,5,11.77
2017,33900,Diesel,Automatic,First,5,37
2016,28000,Petrol,Manual,First,5,8.75
2007,50958,Petrol,Manual,First,5,1.95
2011,93982,Petrol,Manual,First,5,3.75
2010,95000,Petrol,Manual,First,5,2.5
2017,9000,Petrol,Automatic,First,5,34.5
2015,52516,Petrol,Manual,First,5,4.65
2015,20000,Petrol,Automatic,First,4,32
2017,56451,Diesel,Automatic,First,5,62.81
2014,37000,Petrol,Manual,First,5,3.25
2014,17400,Petrol,Manual,First,5,3.1
2011,90207,Diesel,Manual,First,5,3.91
2011,89616,Diesel,Automatic,First,5,11
2014,85000,Diesel,Manual,First,5,3.5
2014,79271,Diesel,Automatic,First,5,16.5
2012,56000,Diesel,Automatic,First,5,30
2010,85001,Diesel,Automatic,Second,7,28
2018,12000,Diesel,Automatic,First,7,28
2010,125000,Petrol,Manual,First,5,0.92
2013,53000,Petrol,Manual,First,5,2.75
2017,34990,Diesel,Automatic,First,5,53.83
2011,49768,Petrol,Manual,Second,5,4.95
2013,56000,Diesel,Automatic,First,5,33.5
2013,75000,Diesel,Automatic,First,5,27.95
2010,57000,Petrol,Automatic,First,5,7.25
2017,37542,Diesel,Automatic,First,5,25.71
2014,95649,Diesel,Automatic,First,5,29.67
2013,35299,Diesel,Automatic,First,5,19
2017,28464,Diesel,Manual,First,7,13.05
2015,41000,Diesel,Automatic,First,5,25.5
2017,9000,Petrol,Manual,First,7,8.5
2010,92098,Diesel,Automatic,Second,5,7.25
2005,5834,Petrol,Manual,First,5,0.8
2017,40250,Petrol,Manual,First,5,6.9
2018,22397,Petrol,Automatic,First,5,70.99
2015,20800,Petrol,Manual,Second,5,2.25
2018,40322,Petrol,Manual,First,5,5.5
2013,52576,Petrol,Manual,First,5,4.35
2010,55000,Petrol,Manual,First,5,2.25
2016,47000,Petrol,Automatic,First,5,24.5
2010,42021,Diesel,Manual,First,5,5.45
2017,23163,Petrol,Manual,First,5,12.03
2011,50000,Petrol,Automatic,Second,5,8.5
2014,11900,Petrol,Automatic,First,4,28.5
2006,108000,Petrol,Manual,Second,5,1.2
2013,37000,Diesel,Manual,First,5,5.75
2014,30000,Petrol,Manual,Second,5,3.2
2018,12831,Petrol,Automatic,First,5,9.89
2012,143017,Diesel,Automatic,First,5,6.58
2018,13102,Petrol,Manual,First,5,4.06
2019,24950,Diesel,Manual,First,5,13.37
2011,57832,Diesel,Automatic,First,5,25.82
2016,34267,Petrol,Manual,First,5,3.74
2015,33000,Diesel,Automatic,Second,5,22
2007,55100,Petrol,Manual,First,5,1.45
2008,40000,Petrol,Manual,First,5,2
2014,15000,Petrol,Manual,First,8,3.75
2016,82756,Diesel,Manual,First,7,7.7
2012,50243,Petrol,Manual,First,5,3.35
2014,20600,Petrol,Manual,First,5,2.6
2017,29952,Petrol,Automatic,First,5,13.77
2017,15000,Petrol,Manual,Second,5,7.1
2008,61938,Petrol,Automatic,Second,5,2.65
2014,67000,Diesel,Manual,First,5,2.5
2013,61672,Diesel,Manual,First,7,7.53
2017,26185,Petrol,Manual,First,5,7.98
2014,38000,Diesel,Automatic,Second,5,39
2011,67000,Petrol,Manual,Second,5,2.25
2010,66000,Petrol,Manual,Second,5,3.85
2015,80883,Diesel,Manual,First,7,13.5
2016,80219,Diesel,Manual,First,5,3.5
2018,12923,Diesel,Manual,First,5,8.92
2016,86642,Diesel,Automatic,First,5,20.37
2016,19235,Diesel,Automatic,First,5,36.5
2016,51002,Diesel,Automatic,First,7,48.91
2016,6800,Petrol,Manual,First,5,7.2
2012,82749,Diesel,Manual,First,5,5.99
2016,51000,Diesel,Manual,First,5,5.25
2014,31465,Diesel,Manual,First,5,6.5
2013,76476,Petrol,Manual,First,5,4.4
2017,14000,Diesel,Manual,First,5,4.6
2013,47000,Diesel,Manual,First,5,2.95
2011,48466,Petrol,Manual,First,5,3.26
2008,46000,Petrol,Manual,Second,5,2.22
2012,162663,Diesel,Manual,First,7,10.5
2017,25142,Diesel,Manual,First,5,8.26
2013,69000,Diesel,Manual,First,7,14.45
2009,80524,Petrol,Manual,Second,5,2.5
2018,26405,Petrol,Automatic,First,5,51.43
2014,45000,Diesel,Manual,First,5,23
2012,64284,Diesel,Manual,First,5,5.5
2015,27000,Petrol,Manual,First,5,4.5
2018,3678,Petrol,Manual,First,5,6.8
2013,21000,Petrol,Manual,First,5,8.75
2015,67000,Diesel,Manual,Second,5,7
2015,24000,Diesel,Automatic,Second,5,33.5
2011,75000,Diesel,Manual,Second,5,2.25
2008,179000,Diesel,Automatic,Second,7,4.24
2017,47198,Diesel,Manual,First,7,28.42
2012,52000,Diesel,Manual,First,5,2.75
2011,91000,Diesel,Manual,First,5,3
2013,60000,Diesel,Manual,First,5,3.55
2013,37873,Diesel,Manual,First,5,4.8
2011,31000,Petrol,Automatic,First,5,13.5
2017,129000,Diesel,Automatic,First,7,56
2004,78000,Petrol,Automatic,First,5,3.99
2016,32000,Diesel,Automatic,First,5,15.5
2010,59000,Petrol,Manual,Second,5,2.32
2016,35437,Diesel,Automatic,First,5,18.58
2014,98000,Petrol,Manual,First,7,5.5
2006,72000,Diesel,Manual,Second,5,3.2
2015,79000,Petrol,Manual,First,5,4
2004,29000,Petrol,Manual,First,5,1.6
2013,66012,Petrol,Manual,First,5,4.15
2014,35000,Petrol,Automatic,First,5,4.25
2011,75000,Petrol,Manual,First,5,2.6
2008,80000,Petrol,Automatic,Second,5,3.43
2012,32717,Petrol,Manual,First,5,2.55
2017,25000,Diesel,Automatic,First,7,32
2014,79000,Diesel,Manual,First,5,6.25
2010,86000,Diesel,Manual,Second,5,3.6
2010,137000,Diesel,Automatic,First,5,18.5
2015,25000,Petrol,Manual,Second,7,4.25
2017,8500,Petrol,Manual,Second,5,4.8
2015,34000,Diesel,Automatic,First,7,13
2012,41629,Petrol,Manual,Second,5,2.25
2009,80227,Petrol,Manual,First,5,2.3
2019,8587,Petrol,Manual,First,5,13.56
2017,30000,Diesel,Manual,First,7,12.25
2013,64186,Diesel,Manual,First,5,3.76
2015,76427,Diesel,Manual,First,5,8.58
2011,75000,Diesel,Automatic,First,5,27.5
2013,27075,Petrol,Manual,First,5,4.95
2012,30000,Petrol,Manual,First,5,3.3
2016,69434,Petrol,Manual,First,5,8
2014,56000,Petrol,Manual,First,5,2.79
2017,49275,Diesel,Automatic,First,5,45.64
2014,8700,Petrol,Manual,First,5,2.55
2014,18000,Petrol,Manual,Second,4,1
2017,41041,Diesel,Automatic,First,5,37.56
2009,80464,Diesel,Automatic,Second,5,9.29
2019,20667,Petrol,Manual,First,5,6.37
2013,60283,Petrol,Manual,First,5,2.98
2017,31696,Petrol,Manual,First,5,5.75
2010,100000,Diesel,Manual,First,7,13
2014,13361,Petrol,Manual,First,7,6.8
2010,48394,Petrol,Automatic,First,5,10.49
2014,47399,Petrol,Manual,First,7,5.6
2010,69000,Petrol,Automatic,Second,5,2.85
2013,65278,Diesel,Manual,First,7,8.36
2005,108000,Diesel,Manual,First,5,1
2010,50645,Petrol,Automatic,Second,5,10.75
2011,130002,Diesel,Manual,First,5,3.85
2012,107000,Diesel,Manual,First,5,3
2015,41950,Petrol,Automatic,First,5,9.6
2012,109000,Diesel,Manual,First,7,13.25
2016,9000,Petrol,Manual,First,5,5.75
2014,43900,Diesel,Manual,First,5,6.75
2013,64000,Diesel,Manual,Second,7,4.85
2019,13190,Petrol,Automatic,First,5,38.99
2009,77652,Petrol,Automatic,First,5,2.85
2012,55000,Diesel,Manual,First,7,9.51
2012,59900,Diesel,Automatic,Second,5,18.5
2015,73539,Diesel,Manual,First,5,6.75
2017,31645,Diesel,Automatic,First,5,29.4
2009,69690,Petrol,Manual,First,5,3.29
2016,41000,Diesel,Manual,First,5,9.5
2010,109200,Petrol,Manual,Second,5,2.2
2012,80000,Diesel,Manual,First,7,6.5
2007,51000,Petrol,Manual,First,5,4.9
2013,105000,Diesel,Manual,Second,7,6.75
2013,179000,Diesel,Manual,First,5,3.8
2017,31000,Diesel,Manual,First,5,10.5
2015,50000,Diesel,Manual,First,5,6.2
2009,48000,Diesel,Automatic,First,5,5
2007,35000,Diesel,Manual,First,5,2.3
2016,100200,Diesel,Automatic,First,7,17
2014,47000,Diesel,Automatic,First,5,25.5
2015,63642,Diesel,Manual,First,5,5.65
2015,62550,Diesel,Manual,First,5,5.6
2015,37340,Diesel,Automatic,First,5,29.98
2016,38461,Diesel,Manual,First,5,7.39
2018,29000,Diesel,Manual,First,5,19
2010,31000,Petrol,Manual,First,5,5
2011,42086,Petrol,Manual,First,5,3.35
2013,49000,Petrol,Manual,First,5,4.45
2019,77240,Diesel,Automatic,First,5,8.31
2012,105000,Diesel,Manual,Second,7,6
2014,35000,Diesel,Manual,First,5,5.25
2006,83072,Petrol,Manual,First,5,1.4
2012,202082,Diesel,Automatic,First,5,12.3
2018,33558,Diesel,Manual,First,5,8.12
2012,60271,Diesel,Manual,First,7,6.12
2017,45366,Diesel,Manual,First,5,10.88
2014,9500,Petrol,Manual,First,5,3.5
2016,42362,Petrol,Manual,First,5,6.15
2016,21000,Diesel,Automatic,First,5,33
2012,15200,Diesel,Automatic,First,5,13.5
2015,43690,Diesel,Automatic,First,7,17.11
2014,79926,Diesel,Automatic,First,7,29.77
2013,53073,Diesel,Manual,First,7,5.95
2015,59000,Petrol,Manual,First,5,5.75
2006,47088,Petrol,Automatic,Second,5,19
2014,55000,Diesel,Manual,First,5,4.75
2013,80430,Diesel,Manual,Second,7,3.3
2013,71932,Diesel,Automatic,First,7,16.5
2014,19000,Diesel,Automatic,First,7,44
2011,81759,Diesel,Manual,First,5,4.39
2018,52010,Diesel,Manual,First,5,6.2
2016,58953,Petrol,Automatic,First,5,24.22
2016,10000,Diesel,Automatic,First,5,44
2019,40674,Diesel,Automatic,First,7,24.82
2015,50000,Diesel,Automatic,First,5,11.69
2018,1331,Petrol,Automatic,First,5,20
2010,60000,Petrol,Manual,First,8,1.45
2018,10003,Diesel,Automatic,First,5,48.5
2016,25000,Diesel,Automatic,First,5,9.45
2015,73000,Diesel,Manual,First,7,12.5
2014,59962,Diesel,Manual,First,5,6.9
2012,72000,Diesel,Manual,Second,5,5.8
2016,20967,Diesel,Automatic,First,5,44.56
2015,35000,Diesel,Manual,Second,7,8.5
2017,38056,Diesel,Manual,First,5,10.7
2009,94000,Diesel,Automatic,Second,7,12
2010,64236,Petrol,Manual,First,5,2.44
2000,124000,Diesel,Manual,First,7,1.95
2014,7400,Petrol,Manual,First,5,4.35
2017,52000,Diesel,Manual,First,8,17.5
2015,68764,Petrol,Manual,First,5,2.9
2013,64000,Diesel,Manual,First,5,2.9
2016,21558,Diesel,Manual,First,5,8.9
2013,37500,Diesel,Automatic,First,5,16.75
2016,14077,Petrol,Manual,First,5,3.95
2009,70000,Petrol,Manual,First,5,2.1
